Width;Distance;Difficulty;Average Time;Error Rate;Clicks;Tester;Time Stamp
50;50;1;0.4938188;0;30;CP;10:41:07
25;50;2;0.6543275;0;22;CP;10:41:27
12.5;50;3;0.9158177;0;16;CP;10:41:46
6.25;50;4;1.026057;0;14;CP;10:42:08
3.125;50;5;1.309479;0;11;CP;10:42:32
1.5625;50;6;1.451977;0.2;10;CP;10:42:52
100;100;1;0.406793;0;36;CP;10:43:11
50;100;2;0.6324111;0;23;CP;10:43:30
25;100;3;0.8394488;0;17;CP;10:43:49
12.5;100;4;0.9363251;0;16;CP;10:44:09
6.25;100;5;1.039223;0;14;CP;10:44:28
3.125;100;6;1.318825;0.09090909;11;CP;10:44:49
150;150;1;0.3646642;0;41;CP;10:45:10
75;150;2;0.6205673;0.04166667;24;CP;10:45:30
37.5;150;3;0.741098;0;20;CP;10:45:49
18.75;150;4;0.833369;0;18;CP;10:46:08
9.375;150;5;1.008015;0;14;CP;10:46:28
4.6875;150;6;1.168688;0;12;CP;10:46:47
200;200;1;0.3670448;0;40;CP;10:47:06
100;200;2;0.6192805;0;24;CP;10:47:25
50;200;3;0.6775062;0;21;CP;10:47:44
25;200;4;0.8716807;0;17;CP;10:48:03
12.5;200;5;1.084738;0;13;CP;10:48:23
6.25;200;6;1.098072;0;13;CP;10:48:43
250;250;1;0.3715568;0;40;CP;10:49:02
125;250;2;0.5734863;0.03846154;26;CP;10:49:25
62.5;250;3;0.7569934;0;19;CP;10:49:44
31.25;250;4;0.8244053;0;18;CP;10:50:04
15.625;250;5;0.9636068;0;15;CP;10:50:23
7.8125;250;6;1.092388;0;13;CP;10:50:43
