Width;Distance;Difficulty;Average Time;Error Rate;Clicks;Tester;Time Stamp
50;50;1;0.2368684;0;63;Daniel;21:00:16
25;50;2;0.3695036;0.025;40;Daniel;21:00:35
12.5;50;3;0.4956589;0.03333334;30;Daniel;21:01:00
6.25;50;4;0.6444589;0;23;Daniel;21:01:20
3.125;50;5;0.8319452;0;18;Daniel;21:01:39
1.5625;50;6;1.114314;0;13;Daniel;21:01:59
100;100;1;0.1990896;0;75;Daniel;21:02:20
50;100;2;0.3786195;0.02564103;39;Daniel;21:02:46
25;100;3;0.4709896;0.06451613;31;Daniel;21:03:05
12.5;100;4;0.5906579;0.04;25;Daniel;21:03:25
6.25;100;5;0.7594219;0;19;Daniel;21:03:44
3.125;100;6;0.9174772;0.1428571;14;Daniel;21:04:03
150;150;1;0.1973722;0.09210526;76;Daniel;21:04:23
75;150;2;0.3808875;0.07692308;39;Daniel;21:04:42
37.5;150;3;0.4597282;0.03125;32;Daniel;21:05:00
18.75;150;4;0.5404652;0;27;Daniel;21:05:19
9.375;150;5;0.7095599;0.04761905;21;Daniel;21:05:39
4.6875;150;6;0.8037499;0;18;Daniel;21:05:57
200;200;1;0.2079048;0.05555556;72;Daniel;21:06:17
100;200;2;0.3282728;0;45;Daniel;21:06:44
50;200;3;0.4721168;0;31;Daniel;21:07:03
25;200;4;0.5972937;0.08;25;Daniel;21:07:22
12.5;200;5;0.6592962;0;22;Daniel;21:07:41
6.25;200;6;0.8462614;0.05882353;17;Daniel;21:08:00
250;250;1;0.1912325;0;78;Daniel;21:08:22
125;250;2;0.310983;0;48;Daniel;21:08:41
62.5;250;3;0.4636368;0.09677419;31;Daniel;21:09:00
31.25;250;4;0.5404098;0;27;Daniel;21:09:19
15.625;250;5;0.67281;0;22;Daniel;21:09:37
7.8125;250;6;0.8213128;0;18;Daniel;21:09:57
